region,crop,own_price_elas
BL000000,SWHE,0.8964054586629874
BL000000,BARL,2.336933358356656
BL000000,OATS,3.78222331408925
BL000000,MAIZ,1.22232752826217
BL000000,OCER,1.179111241543469
BL000000,RAPE,0.8260527870330163
BL000000,POTA,0.5920504561974436
BL000000,SUGB,0.6342207395892474
BL000000,MAIF,0.5074046929304624
BL000000,OFAR,0.6086748844697351
BL210000,SWHE,3.250514132570874
BL210000,MAIZ,1.068779312261613
BL210000,POTA,2.700344393498481
BL210000,MAIF,1.020782649523796
BL210000,OFAR,0.5233483883945222
BL220000,SWHE,0.6991005494947125
BL220000,BARL,2.53313704142154
BL220000,MAIZ,0.7010940044639571
BL220000,POTA,0.5165233683774539
BL220000,SUGB,0.5334453296350732
BL220000,MAIF,0.3297660339210689
BL220000,OFAR,0.4059384248472657
BL230000,SWHE,1.676597533980561
BL230000,BARL,7.442262682908345
BL230000,MAIZ,1.212058223724639
BL230000,OCER,2.615462538175214
BL230000,POTA,0.3365567003452613
BL230000,SUGB,1.028661174282447
BL230000,MAIF,0.2932317415326098
BL230000,OFAR,0.7819977166397871
BL240000,SWHE,0.9041505239492014
BL240000,BARL,3.119400727559285
BL240000,MAIZ,2.37587005787742
BL240000,POTA,0.5183523957462317
BL240000,SUGB,0.7227227646731107
BL240000,MAIF,1.35623974281179
BL240000,OFAR,0.9878226724160823
BL250000,SWHE,1.526517119032922
BL250000,BARL,10.83235361217096
BL250000,MAIZ,0.8348842626824914
BL250000,POTA,0.3101089967407533
BL250000,SUGB,0.868630405967785
BL250000,MAIF,0.3346282971499005
BL250000,OFAR,0.719208320726745
BL310000,SWHE,0.3921941684255422
BL310000,BARL,1.58665191198432
BL310000,POTA,1.20886628740937
BL310000,SUGB,0.6095675993357884
BL310000,MAIF,0.6710934100492429
BL310000,OFAR,1.415437317392976
BL320000,SWHE,0.6385721970686666
BL320000,BARL,1.824569738543601
BL320000,POTA,0.5233316128454856
BL320000,SUGB,0.4355684986180466
BL320000,MAIF,0.3115143309952814
BL320000,OFAR,1.444710450420138
BL330000,SWHE,0.4204863110876277
BL330000,BARL,0.9444745857793861
BL330000,POTA,1.109266516133931
BL330000,SUGB,0.5796238321728899
BL330000,MAIF,0.4503339249920162
BL330000,OFAR,1.963368690276785
BL340000,SWHE,2.229152905423422
BL340000,BARL,3.498133899272452
BL340000,OATS,4.59299550270538
BL340000,OCER,0.1836251567525082
BL340000,MAIF,0.9478150972135173
BL340000,OFAR,0.3181589865868681
BL350000,SWHE,0.8046757522070723
BL350000,BARL,1.498911185841494
BL350000,RAPE,0.8471793996006847
BL350000,POTA,1.835937226665749
BL350000,SUGB,0.6144201056421131
BL350000,MAIF,0.5774263399489236
BL350000,OFAR,0.9156198033781708
BL400000,SWHE,0.9902032680434273
BL400000,BARL,1.512653619603917
BL400000,OATS,3.225860488124388
BL400000,OCER,1.130302404373678
BL400000,RAPE,0.8058149442025154
BL400000,MAIF,0.1806814435549353
BL400000,OFAR,0.2129580947368993
DK000000,SWHE,0.7981421542295609
DK000000,RYEM,3.875411752758959
DK000000,BARL,0.7225412508921737
DK000000,OATS,2.310345576334268
DK000000,OCER,1.244520485358417
DK000000,RAPE,1.264039674741484
DK000000,PULS,7.356577728179364
DK000000,POTA,1.440578549962507
DK000000,SUGB,1.434980188496124
DK000000,MAIF,2.055604143329158
DK000000,OFAR,0.7688360691052176
DE000000,SWHE,1.653847197324402
DE000000,DWHE,2.847277141672635
DE000000,RYEM,2.767214338505245
